STATION X(m) Y(m) Z(m) v(X)m/a v(Y)m/a v(Z)m/a EPOCA σ_X(m) σ_Y(m) σ_Z(m) σ_vX(m) σ_vY(m) σ_vZ(m)
CORE_GPS 1269576.19771 -6253619.11329 -36268.78179 0.00679 -0.00559 0.01086 2011.000 0.0059 0.0213 0.0037 0.00110 0.00410 0.00060
COYQ_GPS 1391587.22441 -4255574.49036 -4527925.91121 0.00264 -0.00458 0.00614 2011.000 0.0065 0.0161 0.0167 0.00060 0.00110 0.00110
CRO1_GPS 2607771.26846 -5488076.65421 1932767.86640 0.00785 0.00866 0.01262 2011.000 0.0056 0.0094 0.0041 0.00050 0.00080 0.00040
CUEC_GPS 1215704.32967 -6255712.18586 -318818.94543 0.00036 -0.00340 0.00710 2011.000 0.0005 0.0019 0.0004 0.00070 0.00200 0.00060
CUEL_GPS 1268386.05459 -6252652.29389 43087.55064 0.01072 -0.01415 0.00893 2011.000 0.0049 0.0139 0.0034 0.00120 0.00420 0.00070
CUER_GPS 1157791.03684 -6266886.55023 -260746.39981 -0.00149 0.01331 0.01265 2011.000 0.0050 0.0175 0.0034 0.00110 0.00420 0.00070
DAGU_GPS 1470831.32401 -6194901.66410 397060.99340 0.00050 -0.00439 0.01777 2011.000 0.0075 0.0220 0.0048 0.00580 0.01970 0.00320
DAUL_GPS 1107455.88252 -6277833.81042 -207462.77331 0.00239 0.02187 0.01278 2011.000 0.0098 0.0265 0.0052 0.00440 0.01230 0.00200
DESV_GPS 1115752.76531 -6279047.22437 -115050.10998 0.00630 0.00087 0.01257 2011.000 0.0029 0.0113 0.0019 0.00060 0.00230 0.00040
EISL_GPS -1884950.85388 -5357596.13888 -2892890.57933 0.06483 -0.01892 -0.00586 2011.000 0.0036 0.0080 0.0047 0.00050 0.00110 0.00060
ELCH_GPS 1347468.45132 -6235674.12624 -36993.92014 -0.00070 -0.00057 0.01017 2011.000 0.0043 0.0151 0.0026 0.00060 0.00200 0.00040
ELEN_GPS 14103.73429 -6103995.01835 1843981.74604 -0.00826 0.00085 0.00111 2011.000 0.0004 0.0025 0.0008 0.00040 0.00150 0.00050
ESMR_GPS 1137650.22292 -6275257.47386 103347.70200 0.01445 0.00236 0.01538 2011.000 0.0016 0.0038 0.0013 0.00050 0.00120 0.00040
ESTI_GPS 394283.61805 -6201541.40152 1436325.92771 0.01306 0.00219 0.01306 2011.000 0.0033 0.0091 0.0033 0.00100 0.00430 0.00130
FACA_GPS 1700704.91244 -6126721.61687 512374.72219 0.00072 0.01268 0.01439 2011.000 0.0086 0.0243 0.0052 0.00680 0.02130 0.00370
FLFR_GPS 1124843.05726 -6278445.86230 -39524.35133 0.01113 -0.00282 0.01094 2011.000 0.0006 0.0020 0.0005 0.00080 0.00230 0.00080
FORT_GPS 4985386.58980 -3954998.63804 -428426.29839 -0.00282 -0.00385 0.01243 2011.000 0.0083 0.0072 0.0030 0.00080 0.00060 0.00030
FRAN_GPS 1211186.87509 -6256114.49682 -332581.97765 -0.00371 0.00026 0.01185 2011.000 0.0042 0.0171 0.0027 0.00220 0.00860 0.00150
FUSA_GPS 1713874.23054 -6126237.65752 481496.02350 -0.00179 0.00470 0.01157 2011.000 0.0080 0.0219 0.0050 0.00640 0.01960 0.00350
GALA_GPS -33795.39720 -6377522.67675 -82120.74064 0.05094 -0.00341 0.01022 2011.000 0.0028 0.0091 0.0022 0.00020 0.00080 0.00020
GINE_GPS 1512796.42235 -6183384.15700 413243.24119 -0.01311 0.02690 0.01777 2011.000 0.0083 0.0257 0.0052 0.00690 0.02380 0.00390
GLPS_GPS -33801.34883 -6377516.53510 -82154.32297 0.05094 -0.00341 0.01022 2011.000 0.0012 0.0032 0.0011 0.00020 0.00080 0.00020
GONZ_GPS 1167141.83657 -6255085.08120 -467068.38535 -0.00009 -0.00338 0.00685 2011.000 0.0036 0.0138 0.0025 0.00060 0.00230 0.00040
GOUG_GPS 4795578.74841 -835299.26604 -4107633.85161 0.01536 0.01915 0.01353 2011.000 0.0082 0.0079 0.0079 0.00160 0.00110 0.00150
GPH1_GPS 1116025.35840 -6272423.96269 -302554.73034 0.00265 -0.00445 0.01073 2011.000 0.0031 0.0095 0.0022 0.00170 0.00670 0.00100
GUAQ_GPS 1151778.65035 -6260056.52925 -423315.43177 -0.00250 -0.01322 0.00387 2011.000 0.0072 0.0226 0.0048 0.00290 0.01020 0.00170
GUAY_GPS 1114881.15666 -6275609.10367 -233719.50681 -0.00204 0.01715 0.01241 2011.000 0.0102 0.0244 0.0053 0.00460 0.01100 0.00210
GYEC_GPS 1118628.43440 -6274783.81467 -237610.24484 0.00417 0.00175 0.01385 2011.000 0.0005 0.0017 0.0004 0.00070 0.00180 0.00070
HATO_GPS 1984808.30421 -6023286.08438 679196.99135 -0.00500 -0.00515 0.01149 2011.000 0.0093 0.0216 0.0052 0.00750 0.01860 0.00360
HENO_GPS 1472874.85332 -6206011.14566 -14584.85853 0.00209 -0.02014 0.00896 2011.000 0.0067 0.0197 0.0040 0.00140 0.00460 0.00070
HONA_GPS 1197782.50366 -6255217.58847 -384330.72389 0.00039 -0.00608 0.00728 2011.000 0.0033 0.0118 0.0021 0.00050 0.00170 0.00040
HSPR_GPS 1233613.65781 -6258993.26725 -38879.82501 0.00759 0.00015 0.01090 2011.000 0.0007 0.0019 0.0004 0.00090 0.00210 0.00050
HUAC_GPS 1347493.13603 -6234958.82031 -78220.16616 0.00082 -0.00289 0.00815 2011.000 0.0047 0.0135 0.0030 0.00080 0.00250 0.00050
HUAM_GPS 1277109.42232 -6249244.21587 -201808.65425 0.01414 -0.06168 0.00108 2011.000 0.0116 0.0305 0.0058 0.00890 0.01390 0.00340
HUAR_GPS 1286293.85229 -6146822.20074 -1111447.19174 0.00682 -0.00046 0.00965 2011.000 0.0018 0.0033 0.0013 0.00160 0.00410 0.00120
IBG2_GPS 1617073.63437 -6151965.52112 488361.13943 -0.00420 0.04296 0.01081 2011.000 0.0081 0.0225 0.0050 0.00630 0.01940 0.00340
IGMV_GPS 1272868.52479 -6252770.09705 -23800.26652 0.01353 -0.03145 0.00920 2011.000 0.0042 0.0133 0.0028 0.00120 0.00430 0.00070
IGNA_GPS 1244443.82616 -6257344.30362 -49874.59993 0.01039 -0.02343 0.01158 2011.000 0.0033 0.0114 0.0021 0.00060 0.00190 0.00040
IQQE_GPS 2034208.60499 -5629172.31432 -2196141.78457 0.02428 0.00221 0.01519 2011.000 0.0099 0.0235 0.0094 0.00080 0.00170 0.00080
ISPA_GPS -1881703.27573 -5359979.83490 -2890599.26667 0.06440 -0.01896 -0.00542 2011.000 0.0006 0.0014 0.0008 0.00050 0.00110 0.00060
ISPT_GPS 989463.48901 -6299556.79096 -139553.26017 0.02978 0.01057 0.01490 2011.000 0.0009 0.0021 0.0005 0.00090 0.00230 0.00050
JAMA_GPS 1388059.31175 -5909149.09856 1951964.00337 -0.04359 -0.00242 0.01445 2011.000 0.0156 0.0103 0.0053 0.00250 0.00260 0.00110
JER1_GPS 1287539.77503 -6249171.19624 -598.86211 -0.01320 0.08316 0.01156 2011.000 0.0056 0.0181 0.0036 0.00150 0.00560 0.00090
JERU_GPS 1287539.56720 -6249170.27948 -623.78915 0.00198 0.01536 0.01169 2011.000 0.0036 0.0107 0.0024 0.00050 0.00140 0.00030
JICA_GPS 1117215.66285 -6274499.69308 -251144.75799 0.00398 0.00028 0.01282 2011.000 0.0039 0.0151 0.0025 0.00120 0.00480 0.00080
JUJA_GPS 1155803.70504 -6269043.90641 -209422.66558 0.00878 -0.02002 0.01186 2011.000 0.0050 0.0190 0.0031 0.00110 0.00360 0.00060
KOU1_2PS 3839590.21830 -5059568.31128 579957.90460 -0.00438 -0.00214 0.01228 2011.000 0.0048 0.0061 0.0021 0.00060 0.00070 0.00030
KOUR_GPS 3839591.35837 -5059567.57658 579957.11295 -0.00438 -0.00214 0.01228 2011.000 0.0062 0.0079 0.0034 0.00060 0.00070 0.00030
LACH_GPS 1280823.90890 -6250783.21648 17809.58635 0.00550 -0.00216 0.01186 2011.000 0.0070 0.0253 0.0040 0.00420 0.01440 0.00240
LATA_GPS 1258247.97219 -6255142.64207 -90040.69279 0.00641 -0.00895 0.01062 2011.000 0.0022 0.0075 0.0014 0.00040 0.00110 0.00030
LCOL_GPS 1194824.39785 -6265695.12808 -27631.83642 0.00761 0.00495 0.01165 2011.000 0.0056 0.0167 0.0039 0.00060 0.00210 0.00040
LGCB_GPS 1154081.99998 -6272876.10125 42246.29904 0.01244 -0.00070 0.01250 2011.000 0.0006 0.0017 0.0004 0.00070 0.00180 0.00050
LHCL_GPS 2079355.62856 -4582903.50270 -3905925.61970 0.00244 -0.00670 0.00747 2011.000 0.0019 0.0034 0.0029 0.00040 0.00070 0.00060
LIBE_GPS 1007439.56491 -6293276.33385 -245319.82732 0.00735 0.00220 0.01049 2011.000 0.0037 0.0104 0.0028 0.00140 0.00550 0.00100
LIMO_GPS 1475928.26406 -6205128.77454 -44591.87311 0.00482 -0.02867 0.01182 2011.000 0.0074 0.0211 0.0040 0.00230 0.00540 0.00100
LITA_GPS 1302374.68514 -6244301.79301 80318.94484 0.00598 0.00635 0.01191 2011.000 0.0006 0.0023 0.0004 0.00170 0.00590 0.00140
LITS_GPS 1277255.04141 -6248860.97659 96232.58969 0.00762 0.00414 0.01164 2011.000 0.0033 0.0111 0.0021 0.00050 0.00160 0.00030
LJEC_GPS 1192829.01310 -6252161.65298 -440799.16555 -0.00001 -0.00387 0.00600 2011.000 0.0008 0.0031 0.0004 0.00270 0.00630 0.00070
LORO_GPS 1543863.07221 -6186090.35240 -178366.51334 -0.00713 0.00768 0.01153 2011.000 0.0042 0.0136 0.0022 0.00140 0.00450 0.00080
LPGS_GPS 2780103.01647 -4437418.96480 -3629404.45583 0.00323 -0.00782 0.00831 2011.000 0.0014 0.0022 0.0018 0.00030 0.00050 0.00040
LUMD_GPS 1400034.87428 -6223696.02271 923.22982 -0.00135 0.00026 0.00963 2011.000 0.0062 0.0218 0.0033 0.00080 0.00270 0.00040
MACH_GPS 1109230.59304 -6270567.26707 -359891.48835 0.00117 0.00399 0.00951 2011.000 0.0042 0.0168 0.0027 0.00150 0.00610 0.00090
MALD_GPS 1226753.21178 -6257952.24541 118319.16899 0.00402 0.01426 0.00925 2011.000 0.0078 0.0279 0.0048 0.00660 0.02350 0.00400
MANA_GPS 407981.88604 -6222925.65586 1333529.02047 0.00659 0.00845 0.00658 2011.000 0.0028 0.0100 0.0027 0.00040 0.00120 0.00030
MANT_GPS 1033767.58521 -6292977.17086 -103559.54292 -0.02288 0.21233 0.01610 2011.000 0.0092 0.0281 0.0055 0.00260 0.00980 0.00160
MARI_GPS 1511193.56642 -6196844.07965 -5485.12974 -0.00286 0.00016 0.00861 2011.000 0.0065 0.0181 0.0042 0.00510 0.01550 0.00280
MDO1_GPS -1329998.85240 -5328393.39242 3236504.12754 -0.01292 -0.00127 -0.00555 2011.000 0.0051 0.0078 0.0050 0.00040 0.00080 0.00050
MEGA_GPS 1683068.45910 -6134917.20023 463507.11371 -0.00606 0.02562 0.01128 2011.000 0.0084 0.0230 0.0053 0.00660 0.01980 0.00380
MEND_GPS 1289928.45174 -6239578.37314 -300396.57946 0.00111 -0.00495 0.00738 2011.000 0.0053 0.0171 0.0034 0.00080 0.00280 0.00050
MIGU_GPS 1212639.48434 -6261523.71921 -188397.16664 0.00375 -0.00104 0.01005 2011.000 0.0053 0.0191 0.0034 0.00090 0.00310 0.00060
MINA_1PS 1076923.26220 -6286229.38112 -106506.35977 0.00504 0.00395 0.01257 2011.000 0.0048 0.0178 0.0032 0.00100 0.00430 0.00060
MIRA_GPS 1271253.58376 -6253369.08976 -29914.66757 0.00400 0.00751 0.01010 2011.000 0.0061 0.0189 0.0039 0.00120 0.00390 0.00070
MIRD_GPS 1199117.38734 -6264593.10126 -64440.95735 -0.00708 0.05293 0.01485 2011.000 0.0055 0.0168 0.0037 0.00200 0.00570 0.00110
MOCA_GPS 1161097.33684 -6270253.81211 -131256.54563 0.00536 -0.00073 0.01187 2011.000 0.0096 0.0265 0.0051 0.00080 0.00280 0.00050
MOCO_GPS 1477470.71585 -6204105.37540 108526.92222 0.00001 0.00000 0.00000 2011.000 0.0125 0.0401 0.0079 1.00000 1.00000 1.00000
MOIN_GPS 755369.27471 -6236567.59895 1098851.00687 0.01219 0.01148 0.00205 2011.000 0.0044 0.0112 0.0039 0.00160 0.00530 0.00130
MON0_GPS 1558626.19888 -6106201.89576 979721.35959 0.01005 0.00795 0.01368 2011.000 0.0058 0.0146 0.0045 0.00320 0.01030 0.00230
MONT_GPS 1435985.57992 -6210458.64077 -228555.53958 -0.00182 -0.00418 0.00944 2011.000 0.0032 0.0107 0.0018 0.00120 0.00400 0.00070
MORU_GPS 1276822.61751 -6252936.69527 -80254.63279 0.00355 0.00337 0.01115 2011.000 0.0006 0.0021 0.0003 0.00070 0.00190 0.00050
MUIS_GPS 1104889.61977 -6281366.60268 66841.94644 0.01399 0.00807 0.01387 2011.000 0.0028 0.0097 0.0019 0.00040 0.00140 0.00030
MULM_GPS 1267251.24384 -6252924.75567 -159056.40466 0.01276 -0.07918 0.00840 2011.000 0.0053 0.0150 0.0037 0.00090 0.00330 0.00050
MZAL_GPS 1594538.28668 -6152563.19216 555672.44481 0.00034 0.00936 0.02034 2011.000 0.0057 0.0141 0.0040 0.00280 0.00880 0.00160
NARI_GPS 1157313.72800 -6266564.37601 -347396.61159 -0.00246 0.00782 0.00838 2011.000 0.0036 0.0143 0.0024 0.00090 0.00290 0.00050
OMBL_GPS 1631940.05394 -6146956.14676 493934.12005 -0.00252 0.01525 0.00849 2011.000 0.0088 0.0254 0.0055 0.00700 0.02220 0.00400
OYAM_GPS 1290816.97463 -6248789.23837 -22499.46739 0.00968 -0.04428 0.01945 2011.000 0.0082 0.0276 0.0048 0.00850 0.02750 0.00480
PAIL_GPS 1531202.12977 -6174104.12127 476677.16964 -0.00456 0.01467 0.01450 2011.000 0.0076 0.0222 0.0050 0.00640 0.02090 0.00380
PAJA_GPS 1060203.86893 -6287184.57512 -171829.19493 0.03406 -0.15790 0.00773 2011.000 0.0060 0.0196 0.0041 0.00190 0.00770 0.00120
PAM1_GPS 1304158.19351 -6247566.26349 -8818.50543 0.00345 0.00241 0.01166 2011.000 0.0043 0.0163 0.0024 0.00060 0.00200 0.00030
PANE_GPS 1270194.01486 -6253432.51230 -25342.64271 0.00093 0.00632 0.01396 2011.000 0.0091 0.0321 0.0055 0.01110 0.02580 0.00690
PAPA_GPS 1311403.53889 -6244951.94602 -42137.56518 0.01532 -0.05289 0.01334 2011.000 0.0029 0.0101 0.0018 0.00050 0.00170 0.00030
PARA_GPS 3763751.65866 -4365113.85839 -2724404.56761 0.00125 -0.00674 0.01085 2011.000 0.0033 0.0039 0.0025 0.00060 0.00070 0.00040
PARC_GPS 1255992.49681 -3622975.14926 -5079719.20680 0.00817 -0.00526 0.00878 2011.000 0.0053 0.0084 0.0097 0.00070 0.00100 0.00120
PAS0_GPS 1406730.58208 -6222414.28488 134506.09779 0.00089 -0.00002 0.01640 2011.000 0.0055 0.0148 0.0038 0.00280 0.01000 0.00150
PAZA_GPS 1972622.72738 -6030660.72042 648905.22289 -0.00676 -0.01389 0.01263 2011.000 0.0101 0.0221 0.0054 0.00840 0.01890 0.00380
PDNS_GPS 1108559.53903 -6281190.00526 12322.99125 0.01399 0.00095 0.01423 2011.000 0.0005 0.0017 0.0004 0.00080 0.00220 0.00070
PINT_GPS 1287975.20147 -6249910.94460 -46481.16440 0.00768 -0.00825 0.01408 2011.000 0.0076 0.0242 0.0043 0.00410 0.01370 0.00220
PITA_GPS 1482143.67148 -6196909.78011 316704.36933 0.01548 -0.00389 0.01992 2011.000 0.0078 0.0230 0.0049 0.00620 0.02040 0.00330
POSO_GPS 1079666.04597 -6278935.02337 -299565.77423 0.00186 0.00850 0.00860 2011.000 0.0032 0.0115 0.0023 0.00370 0.01650 0.00230
POVE_GPS 2774265.60675 -5662060.15683 -959415.85731 -0.00063 -0.00709 0.01113 2011.000 0.0013 0.0020 0.0010 0.00140 0.00200 0.00110
PPRT_GPS 1083820.02444 -6285437.76020 -13856.08561 0.01463 0.00561 0.01570 2011.000 0.0011 0.0030 0.0009 0.00070 0.00180 0.00050
PROG_GPS 1066545.26227 -6282722.88392 -266495.56359 0.00519 0.00180 0.01199 2011.000 0.0037 0.0139 0.0023 0.00060 0.00210 0.00040
PTEC_GPS 1055320.80773 -6289193.95688 -116986.48095 0.00814 -0.00119 0.01302 2011.000 0.0054 0.0044 0.0036 0.00310 0.00440 0.00200
PTEJ_GPS 1495150.89940 -6191128.43268 356228.05124 -0.01012 0.03343 0.02409 2011.000 0.0076 0.0206 0.0046 0.00730 0.01770 0.00330
PTGL_GPS 1104165.62649 -6281502.63315 86418.46066 0.01847 0.00437 0.01410 2011.000 0.0006 0.0020 0.0004 0.00090 0.00230 0.00060
PTQT_GPS 1189482.79162 -6266393.35969 13600.77134 0.00972 0.00774 0.00958 2011.000 0.0006 0.0025 0.0004 0.00190 0.00710 0.00150
PUEB_GPS 1158544.03045 -6269684.77838 -172351.54869 0.00619 -0.00226 0.01016 2011.000 0.0062 0.0196 0.0041 0.00080 0.00300 0.00050
PUYO_GPS 1318892.48569 -6239145.65599 -166400.35334 0.00224 -0.01764 0.00725 2011.000 0.0031 0.0112 0.0019 0.00080 0.00270 0.00050
QNDE_GPS 1165008.59970 -6270855.01261 36218.28817 0.01038 0.00368 0.01109 2011.000 0.0037 0.0116 0.0026 0.00060 0.00200 0.00040
QUEM_GPS 1272483.46611 -6252975.33871 -26224.31100 0.00776 0.00260 0.01138 2011.000 0.0005 0.0017 0.0003 0.00070 0.00170 0.00040
QUI1_GPS 1272867.36702 -6252772.13908 -23801.70284 0.00693 0.00221 0.01085 2011.000 0.0009 0.0025 0.0006 0.00030 0.00080 0.00020
RCM5_GPS 961334.63119 -5674074.19165 2740535.20542 -0.00909 -0.00102 0.00272 2011.000 0.0073 0.0110 0.0078 0.00130 0.00290 0.00170
REDO_GPS 1321839.76827 -6243514.98563 33681.68865 -0.04267 0.20788 0.00935 2011.000 0.0059 0.0175 0.0039 0.00220 0.00730 0.00120
RETU_GPS 1278253.72506 -6250662.52280 -160615.18204 0.00784 -0.01116 0.00929 2011.000 0.0011 0.0036 0.0005 0.00180 0.00650 0.00080
REVE_GPS 1377878.81408 -6229006.78346 -5227.60058 -0.00226 0.00403 0.00732 2011.000 0.0045 0.0149 0.0027 0.00060 0.00200 0.00040
RIO2_GPS 1429907.83391 -3495354.86233 -5122698.59287 0.00777 -0.00851 0.00611 2011.000 0.0005 0.0009 0.0013 0.00030 0.00060 0.00080
RIOB_GPS 1261675.98010 -6252281.35435 -188115.74906 -0.00592 0.04495 0.00753 2011.000 0.0051 0.0139 0.0037 0.00250 0.00940 0.00140
RIOG_GPS 1429907.84024 -3495354.86578 -5122698.59411 0.00777 -0.00851 0.00611 2011.000 0.0062 0.0135 0.0188 0.00030 0.00060 0.00080
RION_GPS 1595819.02547 -6139529.15319 681878.03454 0.00297 0.00467 0.01557 2011.000 0.0060 0.0150 0.0042 0.00350 0.01110 0.00210
RIOP_GPS 1255144.97293 -6253609.44884 -182569.79200 -0.00051 -0.00061 0.00568 2011.000 0.0026 0.0079 0.0019 0.00040 0.00130 0.00020
ROLD_GPS 1522785.89867 -6175437.68140 486367.49513 -0.00002 0.01408 0.01172 2011.000 0.0097 0.0260 0.0055 0.01000 0.02340 0.00470
